date,ticker,name,sector,P,V,F,G,D,Q,total,veto,dd52,r1y,rg,pg
2022-04-01,601985.SH,中国核电,nuclear,26,5.835732557163902,14.0,0.0,10,5,60.8357325571639,False,0.04023520288585558,0.5174113669016482,0.26963492169238856,0.3769592654482208
2022-04-01,601611.SH,中国核建,nuclear,26,20.483180826920503,11.375,0.0,10,5,72.8581808269205,False,0.28839161210381503,0.03448317238977783,0.16271305709949746,0.14604211040240744
2022-04-01,600893.SH,航发动力,defense,26,20.444130855380465,9.375,14.999999999999998,9,5,84.81913085538046,False,0.34404476141281637,-0.0743227077134978,0.10042034235094155,0.13037668379238032
2022-04-01,600760.SH,中航沈飞,defense,26,18.077996388243953,11.375,14.999999999999998,9,5,84.45299638824395,False,0.31331434470674835,0.24576858167680338,0.2479494193062659,0.14560164898518657
2022-04-01,002179.SZ,中航光电,defense,26,19.46664725626303,14.0,14.999999999999998,9,5,88.46664725626303,False,0.24813531386159737,0.22141470570517918,0.24857474754424413,0.38352126189595603
2022-05-05,300124.SZ,汇川技术,robotics,30,23.877374175948937,15.0,15.000000000000002,8,5,96.87737417594894,False,0.34102338562331314,0.09004774430322038,0.4434718714125987,0.4159400546744829
2022-05-05,002747.SZ,埃斯顿,robotics,30,21.737523933873575,7.625,15.000000000000002,8,5,87.36252393387358,False,0.645390417488162,-0.49888459905858296,0.09327958162252692,0.01759875042044534
2022-05-05,002472.SZ,双环传动,robotics,30,20.267312379686963,15.0,15.000000000000002,8,5,93.26731237968696,False,0.3986266628052977,0.952378573310126,0.3782785051846753,2.1214646206907872
2022-05-05,603986.SH,兆易创新,memory,28,24.10245430774644,15.0,15.0,6,5,93.10245430774644,False,0.45746811423786304,0.007431403690343563,0.72529685822267,1.6836054423199935
2022-05-05,300223.SZ,北京君正,memory,28,21.9098555612702,15.0,15.0,6,5,90.9098555612702,False,0.6109240920088375,0.09063922347509368,0.7668164883642583,4.728201224197146
2022-05-05,000021.SZ,深科技,memory,28,23.108224787972894,5.0,0.0,6,5,67.10822478797289,False,0.4905943687828611,-0.467359993309419,0.06577206166546334,-0.20544387161499678
2022-05-05,603259.SH,药明康德,biotech,26,24.553406833690826,14.125,15.0,10,5,94.67840683369083,False,0.38553606525185347,-0.07810972508322578,0.44418054196778956,0.2605948427131364
2022-05-05,600276.SH,恒瑞医药,biotech,26,20.97405727439347,0.0,15.0,10,5,76.97405727439347,True,0.5961640917130226,-0.5601656540272528,-0.16068625692743888,-0.34394096954062237
2022-05-05,688235.SH,百济神州,biotech,26,23.9630013690061,6.0,15.0,10,5,85.9630013690061,False,0.43209620502922286,-0.42849809710902464,,
2022-05-05,300454.SZ,深信服,cyber,26,21.386130087061655,9.8,14.999999999999998,9,5,86.18613008706166,False,0.7085643911134236,-0.6521693842551995,0.1540528926404643,
2022-05-05,688561.SH,奇安信,cyber,26,21.901539707506046,10.8,14.999999999999998,9,5,87.70153970750604,False,0.5988300674500995,-0.4634784584965508,0.36901623955811713,
2022-05-05,002439.SZ,启明星辰,cyber,26,23.155010211803592,9.375,14.999999999999998,9,5,87.53001021180359,False,0.517078656098825,-0.42089577614963225,0.11809080017628637,0.06627302316331862
2022-05-05,300308.SZ,中际旭创,cpo,30,23.9698374713514,11.375,15.0,4,5,89.3448374713514,False,0.3040885428722627,-0.09668551598255448,0.15524742056101215,0.13780483590537096
2022-05-05,300502.SZ,新易盛,cpo,30,23.151120293718296,13.125,15.0,4,5,90.2761202937183,False,0.5161538513483244,-0.2148832225410917,0.284986668895449,0.24453786156787638
2022-05-05,002281.SZ,光迅科技,cpo,30,23.834713971800717,0.0,0.0,4,5,62.83471397180072,False,0.47176507209901664,-0.3497571421472764,-0.019812911030208213,-0.0733795083436557
2022-05-05,600406.SH,国电南瑞,grid,26,16.23280308393091,11.125,15.000000000000002,8,5,81.35780308393092,False,0.29468350555117284,0.29054133337222887,0.0934473989282858,0.16943531198255957
2022-05-05,600089.SH,特变电工,grid,26,21.68902360975441,15.0,15.000000000000002,8,5,90.68902360975441,False,0.32778335564684447,0.7588029427642526,0.5100652818916662,0.9685485513941767
2022-05-05,000400.SZ,许继电气,grid,26,21.136779928745522,3.0,15.000000000000002,8,5,78.13677992874553,False,0.5059790290250172,0.1271868795916573,0.04591944921844515,-0.023426219599224862
2022-05-05,600118.SH,中国卫星,space,26,20.593540166367298,0.0,15.000000000000002,9,5,75.59354016636729,False,0.43799134237243476,-0.4372995097148953,-0.020572239077735976,-0.37720602138160275
